iter	Passed	Remaining
0	15	1547
1	37	1837
2	59	1925
3	80	1940
4	102	1952
5	118	1852
6	138	1838
7	161	1861
8	183	1857
9	205	1853
10	226	1835
11	243	1785
12	265	1777
13	287	1767
14	308	1745
15	330	1735
16	352	1721
17	374	1704
18	396	1691
19	423	1695
20	445	1677
21	463	1642
22	485	1624
23	520	1647
24	542	1627
25	566	1612
26	581	1571
27	602	1548
28	619	1516
29	641	1496
30	659	1467
31	683	1451
32	705	1431
33	727	1411
34	749	1391
35	772	1372
36	794	1352
37	820	1339
38	843	1318
39	865	1297
40	887	1277
41	915	1263
42	932	1235
43	955	1215
44	970	1186
45	988	1160
46	1006	1134
47	1028	1113
48	1050	1093
49	1072	1072
50	1089	1046
51	1104	1019
52	1126	999
53	1142	973
54	1168	955
55	1190	935
56	1211	913
57	1237	896
58	1259	875
59	1282	855
60	1304	833
61	1326	812
62	1347	791
63	1363	766
64	1379	742
65	1401	722
66	1424	701
67	1444	679
68	1465	658
69	1487	637
70	1510	616
71	1527	593
72	1542	570
73	1564	549
74	1587	529
75	1609	508
76	1630	487
77	1658	467
78	1688	448
79	1710	427
80	1732	406
81	1754	385
82	1776	363
83	1793	341
84	1810	319
85	1832	298
86	1854	277
87	1877	256
88	1893	234
89	1916	212
90	1940	191
91	1965	170
92	1987	149
93	2009	128
94	2026	106
95	2049	85
96	2076	64
97	2098	42
98	2120	21
99	2137	0
