iter	Passed	Remaining
0	206	206228
1	209	104505
2	215	71561
3	218	54415
4	221	44177
5	224	37237
6	230	32655
7	233	28906
8	236	26042
9	239	23698
10	246	22149
11	249	20526
12	253	19246
13	256	18081
14	259	17032
15	261	16078
16	262	15207
17	264	14443
18	266	13767
19	268	13146
20	269	12581
21	271	12067
22	273	11597
23	274	11156
24	275	10749
25	276	10375
26	277	10017
27	279	9699
28	280	9392
29	281	9103
30	282	8835
31	283	8582
32	284	8348
33	286	8132
34	287	7916
35	288	7712
36	288	7519
37	289	7337
38	290	7164
39	292	7008
40	292	6851
41	293	6700
42	294	6556
43	295	6420
44	296	6288
45	297	6162
46	297	6041
47	298	5925
48	299	5814
49	300	5708
50	301	5613
51	302	5514
52	303	5419
53	304	5328
54	304	5239
55	306	5160
56	306	5078
57	307	4998
58	308	4921
59	309	4847
60	310	4775
61	311	4705
62	311	4637
63	312	4572
64	313	4510
65	314	4448
66	315	4388
67	315	4329
68	316	4273
69	317	4218
70	318	4164
71	319	4113
72	320	4066
73	321	4017
74	321	3970
75	322	3924
76	323	3878
77	324	3834
78	325	3791
79	326	3749
80	327	3711
81	328	3672
82	328	3629
83	329	3591
84	330	3553
85	330	3517
86	331	3481
87	332	3446
88	333	3417
89	334	3383
90	335	3351
91	336	3319
92	337	3288
93	338	3258
94	338	3228
95	339	3198
96	340	3169
97	341	3141
98	342	3113
99	342	3085
100	343	3059
101	344	3033
102	345	3007
103	346	2982
104	348	2967
105	349	2944
106	349	2921
107	350	2897
108	351	2874
109	352	2851
110	353	2829
111	354	2807
112	354	2786
113	356	2767
114	357	2751
115	358	2735
116	360	2717
117	361	2699
118	362	2684
119	363	2666
120	364	2648
121	365	2630
122	366	2613
123	367	2595
124	368	2578
125	370	2569
126	371	2552
127	372	2535
128	372	2518
129	373	2501
130	374	2484
131	375	2468
132	376	2454
133	377	2439
134	378	2423
135	379	2408
136	379	2393
137	380	2378
138	381	2364
139	382	2349
140	383	2337
141	384	2321
142	385	2308
143	385	2294
144	386	2280
145	387	2267
146	388	2253
147	389	2240
148	390	2227
149	391	2217
150	392	2204
151	392	2192
152	393	2180
153	394	2167
154	395	2155
155	396	2144
156	397	2132
157	397	2120
158	398	2109
159	399	2099
160	400	2087
161	401	2076
162	402	2065
163	402	2054
164	403	2043
165	404	2032
166	405	2023
167	406	2013
168	407	2003
169	408	1993
170	409	1983
171	409	1973
172	410	1963
173	411	1954
174	412	1944
175	413	1935
176	414	1926
177	415	1917
178	415	1908
179	416	1898
180	417	1889
181	418	1880
182	419	1873
183	420	1864
184	421	1855
185	421	1846
186	422	1838
187	423	1829
188	424	1821
189	425	1813
190	426	1805
191	427	1797
192	427	1789
193	428	1781
194	429	1773
195	430	1765
196	431	1757
197	432	1749
198	432	1742
199	433	1735
200	434	1728
201	435	1721
202	436	1714
203	437	1706
204	438	1699
205	439	1692
206	439	1684
207	441	1679
208	441	1672
209	442	1665
210	443	1658
211	444	1651
212	445	1645
213	446	1638
214	446	1631
215	448	1626
216	449	1620
217	450	1614
218	451	1608
219	451	1602
220	452	1596
221	453	1590
222	455	1586
223	456	1580
224	457	1574
225	457	1568
226	458	1561
227	459	1555
228	460	1549
229	461	1544
230	462	1539
231	463	1533
232	464	1527
233	464	1522
234	465	1516
235	466	1510
236	467	1504
237	468	1499
238	469	1494
239	470	1488
240	471	1483
241	471	1477
242	472	1472
243	473	1466
244	474	1461
245	475	1455
246	475	1450
247	476	1446
248	477	1440
249	478	1435
250	479	1430
251	480	1425
252	481	1420
253	481	1415
254	482	1410
255	483	1406
256	484	1401
257	485	1396
258	486	1393
259	487	1388
260	488	1383
261	489	1378
262	490	1374
263	491	1370
264	492	1365
265	492	1360
266	493	1355
267	494	1350
268	495	1346
269	496	1341
270	496	1336
271	497	1332
272	498	1328
273	499	1323
274	500	1319
275	501	1314
276	501	1310
277	502	1305
278	503	1301
279	504	1298
280	505	1293
281	506	1289
282	507	1285
283	507	1280
284	508	1276
285	509	1272
286	510	1268
287	511	1264
288	512	1260
289	513	1256
290	514	1252
291	514	1248
292	515	1244
293	516	1240
294	517	1236
295	518	1233
296	519	1229
297	520	1225
298	521	1221
299	521	1217
300	522	1214
301	523	1210
302	524	1206
303	525	1202
304	526	1199
305	527	1195
306	527	1191
307	528	1188
308	529	1184
309	530	1180
310	531	1177
311	532	1174
312	533	1170
313	534	1167
314	535	1163
315	535	1159
316	536	1156
317	537	1152
318	538	1149
319	539	1146
320	540	1142
321	541	1139
322	541	1135
323	542	1132
324	543	1128
325	544	1125
326	545	1122
327	546	1119
328	547	1116
329	548	1113
330	549	1110
331	550	1107
332	551	1104
333	552	1101
334	553	1099
335	554	1096
336	555	1092
337	556	1089
338	557	1086
339	557	1083
340	558	1079
341	559	1076
342	560	1074
343	561	1071
344	562	1068
345	563	1064
346	564	1061
347	565	1058
348	565	1055
349	566	1052
350	567	1049
351	568	1046
352	569	1043
353	569	1039
354	570	1036
355	571	1033
356	572	1030
357	573	1027
358	574	1025
359	576	1024
360	577	1022
361	578	1019
362	579	1017
363	581	1015
364	582	1013
365	584	1012
366	585	1010
367	587	1008
368	588	1007
369	592	1008
370	594	1008
371	596	1007
372	598	1005
373	600	1004
374	602	1004
375	604	1002
376	606	1001
377	607	1000
378	610	999
379	611	998
380	614	998
381	615	995
382	616	993
383	617	990
384	618	988
385	619	985
386	620	982
387	621	980
388	622	977
389	623	975
390	625	974
391	627	973
392	629	972
393	630	969
394	632	968
395	633	966
396	634	963
397	636	962
398	637	960
399	639	958
400	641	958
401	644	958
402	646	957
403	647	955
404	649	954
405	650	951
406	651	949
407	652	946
408	653	944
409	654	941
410	655	939
411	658	939
412	659	938
413	661	935
414	662	933
415	663	931
416	664	929
417	665	926
418	666	924
419	670	925
420	672	924
421	673	922
422	674	920
423	675	918
424	676	915
425	678	913
426	679	911
427	679	908
428	680	906
429	681	903
430	683	902
431	684	899
432	685	897
433	686	894
434	687	892
435	688	890
436	689	887
437	689	885
438	690	882
439	691	880
440	692	877
441	693	875
442	694	872
443	695	870
444	696	868
445	697	865
446	698	863
447	698	861
448	699	858
449	701	857
450	702	854
451	703	852
452	704	850
453	705	847
454	705	845
455	706	843
456	707	840
457	708	838
458	709	835
459	710	833
460	710	831
461	711	828
462	712	826
463	713	824
464	715	822
465	716	820
466	717	818
467	718	816
468	719	814
469	720	812
470	721	809
471	722	807
472	723	806
473	725	804
474	726	802
475	727	800
476	728	798
477	728	795
478	729	793
479	731	792
480	732	790
481	733	788
482	734	786
483	735	783
484	736	781
485	737	780
486	738	778
487	739	776
488	740	774
489	741	771
490	742	769
491	743	767
492	744	765
493	744	762
494	745	760
495	746	758
496	747	756
497	748	754
498	748	752
499	749	749
500	750	747
501	751	745
502	752	743
503	753	741
504	754	739
505	755	737
506	755	735
507	756	732
508	757	730
509	758	728
510	759	727
